name,ID,Probe_vs_Competition_p.val,Vehicle_vs_Competition_p.val,Vehicle_vs_Probe_p.val,Probe_vs_Competition_p.adj,Vehicle_vs_Competition_p.adj,Vehicle_vs_Probe_p.adj,Probe_vs_Competition_significant,Vehicle_vs_Competition_significant,Vehicle_vs_Probe_significant,significant,Probe_vs_Competition_ratio,Vehicle_vs_Competition_ratio,Vehicle_vs_Probe_ratio,Competition_centered,Probe_centered,Vehicle_centered
HADHA,P40939,0.5813577787672848,0.2623350168328988,0.12260405570912412,0.641,0.659,0.903,FALSE,FALSE,FALSE,FALSE,0.208,-0.444,-0.652,0.0789,0.286,-0.365
HK2,P52789,0.6473648302283166,0.23987084556431837,0.43637709745889985,0.739,0.624,0.973,FALSE,FALSE,FALSE,FALSE,-0.0893,-0.244,-0.155,0.111,0.022,-0.133
HLA-C,Q29865,0.3791568569140634,0.015104496702787617,0.005764105729804293,0.232,0.00174,0.0104,FALSE,FALSE,FALSE,FALSE,0.199,-0.741,-0.94,0.181,0.38,-0.561
HM13,Q8TCT9,0.6340878052556852,0.0028285318690696726,0.0018854109953575949,0.722,1.17e-7,6.81e-5,FALSE,FALSE,FALSE,FALSE,0.151,-1.6,-1.75,0.483,0.633,-1.12
HNRNPA1,P09651,0.8047176494156845,0.8737996971917839,0.929110375054754,0.866,0.914,0.986,FALSE,FALSE,FALSE,FALSE,0.0597,0.0383,-0.0214,-0.0327,0.027,0.00562
HNRNPA2B1,P22626,0.4156692524808245,0.5450876221634071,0.8214759558031276,0.292,0.853,0.985,FALSE,FALSE,FALSE,FALSE,0.381,0.279,-0.102,-0.22,0.161,0.0588
HNRNPA3,P51991,0.9462134503359119,0.8598814725118482,0.9129895809839047,0.915,0.913,0.986,FALSE,FALSE,FALSE,FALSE,-0.0263,-0.069,-0.0427,0.0318,0.00545,-0.0372
HNRNPAB,Q99729,0.9687271025327621,0.9150802697642002,0.8841257404118055,0.92,0.918,0.986,FALSE,FALSE,FALSE,FALSE,-0.00828,0.0225,0.0308,-0.00475,-0.013,0.0178
HNRNPDL,O14979,0.4576315085503522,0.8811095055087721,0.5462429758726033,0.363,0.915,0.978,FALSE,FALSE,FALSE,FALSE,-0.12,-0.0234,0.0963,0.0477,-0.072,0.0243
HNRNPK,P61978,0.8755442077746016,0.5782667780773272,0.4819504470690327,0.895,0.863,0.976,FALSE,FALSE,FALSE,FALSE,-0.0442,0.159,0.203,-0.0383,-0.0825,0.121
HNRNPM,P52272,0.8480051491992131,0.46377884288663335,0.5803809857282949,0.885,0.823,0.979,FALSE,FALSE,FALSE,FALSE,-0.0364,-0.143,-0.107,0.0598,0.0234,-0.0832
